room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
682889,150072,Entire home/apt,Centro,Embajadores,0,,1,1.0,132.0,3.0,40.406509,-3.707812,2015-02-21 03:25:32.846
683208,9228673,Entire home/apt,Salamanca,Lista,16,5.0,6,4.0,248.0,,40.432866,-3.675902,2015-02-21 04:36:12.396
684564,1941314,Entire home/apt,Centro,Palacio,32,4.5,3,1.0,86.0,3.0,40.418532,-3.709272,2015-02-21 01:07:24.309
684744,1722284,Entire home/apt,Centro,Cortes,47,4.5,4,1.0,111.0,3.0,40.413254,-3.695688,2015-02-21 04:36:20.032
684855,3166283,Entire home/apt,Centro,Universidad,15,4.5,3,1.0,51.0,2.0,40.423853,-3.704955,2015-02-21 01:47:23.048
686041,3508577,Private room,Hortaleza,Valdefuentes,0,,2,1.0,44.0,1.0,40.490848,-3.649508,2015-02-21 04:56:13.774
686156,3480385,Entire home/apt,Centro,Embajadores,25,4.5,2,1.0,51.0,2.0,40.406399,-3.702395,2015-02-21 02:12:40.739
686347,3501045,Private room,Chamartin,Prosperidad,4,5.0,1,1.0,59.0,2.0,40.449364,-3.66371,2015-02-21 00:55:57.657
686870,2607800,Private room,Arganzuela,Palos de Moguer,3,3.5,1,1.0,37.0,1.0,40.405368,-3.700096,2015-02-21 01:10:41.729
687019,3506134,Private room,Centro,Cortes,0,,5,1.0,41.0,10.0,40.415992,-3.700335,2015-02-21 04:04:05.675
687224,3507123,Private room,Puente de Vallecas,San Diego,1,5.0,1,1.0,44.0,1.0,40.39284,-3.665164,2015-02-21 03:06:21.194
688699,2169208,Private room,Ciudad Lineal,Colina,38,4.5,2,1.0,42.0,1.0,40.455249,-3.659887,2015-02-21 01:52:18.757
688795,1732442,Entire home/apt,Centro,Sol,18,5.0,10,2.0,146.0,2.0,40.418219,-3.706287,2015-02-21 03:45:13.967
689099,3357259,Private room,Ciudad Lineal,Costillares,5,4.5,1,1.0,58.0,1.0,40.47546,-3.672452,2015-02-21 04:39:51.718
689444,3261433,Shared room,Centro,Sol,105,5.0,7,1.0,19.0,2.0,40.417503,-3.701404,2015-02-21 01:24:59.733
689453,3261433,Private room,Centro,Sol,34,5.0,2,1.0,81.0,1.0,40.419185,-3.699837,2015-02-21 01:36:51.729
690450,3471099,Entire home/apt,Arganzuela,Acacias,0,,2,1.0,103.0,1.0,40.40543,-3.709922,2015-02-21 01:04:56.317
691344,655088,Private room,Arganzuela,Delicias,36,5.0,1,1.0,35.0,1.0,40.400451,-3.696965,2015-02-21 03:33:39.883
691458,655088,Private room,Arganzuela,Delicias,0,,2,1.0,63.0,1.0,40.400472,-3.695737,2015-02-21 00:44:51.186
691598,2430516,Private room,Centro,Palacio,48,4.5,2,1.0,42.0,1.0,40.420211,-3.706483,2015-02-21 03:30:48.696
691998,361930,Entire home/apt,Tetuan,Cuatro Caminos,20,4.5,7,4.0,146.0,2.0,40.45452,-3.692239,2015-02-21 01:18:36.925
692358,3540348,Entire home/apt,Usera,San Fermín,21,4.5,8,3.0,95.0,3.0,40.365037,-3.69318,2015-02-21 03:22:23.915
